Pista 0: 
Tempo: 120.0 BPM

Pista 1: DRUM LOOP
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 156296
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 156960
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 157021
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 157200
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 157245
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 157440
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 157596
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 158160
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 158238
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 158880
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 159003
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 159360
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 159360
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 159421
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 159427
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 159600
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 159645
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 159840
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 159896
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 160080
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 160152
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 161280
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 161526
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 162000
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 162062
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 162720
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 162787
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 163200
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 163261
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 163920
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 163970
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 164640
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 164713
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 164880
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 164908
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 165120
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 165165
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 165840
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 165896
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 166560
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 166616
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 167040
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 167102
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 167760
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 167822
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 168240
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 168251
  Note_on: Nota: 38, Velocidad: 106, Tiempo: 168360
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 168405
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 168480
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 168497
  Note_on: Nota: 38, Velocidad: 106, Tiempo: 168600
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 168645
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 168720
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 168754
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 168960
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 168988
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 169680
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 169742
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 170400
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 170462
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 170880
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 170926
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 171600
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 171667
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 172320
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 172381
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 172560
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 172571
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 172800
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 172834
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 174720
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 174849
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 176640
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 176674
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 177360
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 177433
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 177840
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 177896
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 178080
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 178142
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 178560
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 178644
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 179280
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 179357
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 179760
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 179822
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 180000
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 180078
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 180240
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 180285
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 180480
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 180542
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 181200
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 181273
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 181680
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 181764
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 181920
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 181993
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 182400
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 182462
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 183120
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 183182
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 183360
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 183422
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 183840
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 183874
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 184320
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 184381
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 185040
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 185118
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 185760
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 185838
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 186240
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 186302
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 186960
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 187022
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 187680
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 187747
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 187920
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 187948
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 188160
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 188222
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 188880
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 188942
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 189600
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 189662
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 190080
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 190142
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 190800
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 190856
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 191280
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 191325
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 191520
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 191548
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 191760
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 191794
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 191880
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 191925
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 192000
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 192045
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 192720
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 192765
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 193440
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 193502
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 193920
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 193987
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 194640
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 194701
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 195360
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 195421
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 195600
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 195628
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 195840
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 195885
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 196560
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 196616
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 197280
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 197347
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 197760
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 197805
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 198480
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 198541
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 198960
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 198960
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 199005
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 199010
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 199200
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 199200
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 199245
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 199245
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 199680
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 199775
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 200400
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 200495
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 201120
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 201232
